month,tickets,closed,sla_rate,avg_resolution_hours,avg_csat
2025-01,95,74,91.9,21.9,4.08
2025-02,73,59,91.5,22.4,4.24
2025-03,86,70,91.4,23.0,3.94
2025-04,83,69,91.3,21.4,4.14
2025-05,71,58,94.8,21.0,3.9
2025-06,88,73,90.4,21.6,4.14
2025-07,88,80,90.0,22.1,4.17
2025-08,85,73,90.4,22.9,4.18
2025-09,77,63,88.9,20.8,4.17
2025-10,83,70,90.0,24.7,4.37
2025-11,85,74,91.9,22.4,4.34
2025-12,101,91,89.0,21.5,4.1
2026-01,78,59,93.2,20.0,4.2
2026-02,71,60,91.7,20.8,4.13
2026-03,99,79,93.7,20.7,4.19
2026-04,79,68,82.4,20.7,4.15
2026-05,94,76,88.2,21.1,4.16
2026-06,64,53,88.7,20.1,4.28
